Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg), activity
10.0403166,0.460048,1.036023,0.114585,1.139350,84.227982,66.056297,dribble
10.0508261,0.384024,1.077757,0.104823,1.148922,84.765305,70.388107,dribble
10.0600252,0.335945,1.100698,0.044785,1.151695,87.771446,73.027252,dribble
10.0701189,0.305926,1.107410,-0.004759,1.148899,90.237335,74.557007,dribble
10.0802622,0.285791,1.101674,0.012081,1.138204,89.391853,75.457176,dribble
10.0901165,0.299092,1.066164,0.020989,1.107521,88.914108,74.329544,dribble
10.1007013,0.314468,1.066530,0.021721,1.112137,88.880890,73.571777,dribble
10.1101189,0.329233,1.073486,0.013545,1.122920,89.308853,72.949463,dribble
10.1200800,0.369625,1.083614,0.004027,1.144927,89.798477,71.165306,dribble
10.1303778,0.419778,1.093621,0.008054,1.171446,89.606079,69.001060,dribble
10.1400833,0.472129,1.092888,-0.014155,1.190593,90.681221,66.635612,dribble
10.1505919,0.572192,1.090570,-0.070899,1.233602,93.294769,62.315231,dribble
10.1602755,0.654195,1.074462,-0.087006,1.260956,93.956573,58.664494,dribble
10.1705246,0.630034,1.027969,-0.073949,1.207945,93.509789,58.496212,dribble
10.1803017,0.538390,0.973300,-0.063089,1.114073,93.246338,61.050411,dribble
10.1901789,0.432103,0.925099,-0.053937,1.022463,93.023849,64.963249,dribble
10.2007952,0.355469,0.886904,-0.042710,0.956442,92.559402,68.159187,dribble
10.2102747,0.327403,0.851150,-0.054669,0.913585,93.430626,68.960289,dribble
10.2204180,0.339606,0.819544,-0.057842,0.889005,93.730484,67.491684,dribble
10.2301331,0.378777,0.793430,-0.042588,0.880237,92.773193,64.480583,dribble
10.2402248,0.426856,0.768658,-0.020257,0.879461,91.319817,60.955433,dribble
10.2506208,0.471153,0.754381,-0.013179,0.889522,90.848923,58.012947,dribble
10.2601404,0.513008,0.750476,-0.036609,0.909798,92.306099,55.644379,dribble
10.2702999,0.536560,0.752062,-0.053449,0.925392,93.311111,54.493999,dribble
10.2806149,0.537048,0.758896,-0.047225,0.930900,92.907898,54.714100,dribble
10.2902155,0.513740,0.769512,-0.038073,0.926028,92.356339,56.272209,dribble
10.3004427,0.478962,0.790745,-0.031239,0.925018,91.935333,58.796299,dribble
10.3103008,0.429907,0.809904,-0.029409,0.917404,91.837029,62.040096,dribble
10.3204317,0.377557,0.825646,-0.021477,0.908131,91.355156,65.426025,dribble
10.3306980,0.344853,0.846390,-0.010128,0.914004,90.634926,67.832077,dribble
10.3402214,0.347293,0.857861,-0.007444,0.925524,90.460823,67.960106,dribble
10.3502083,0.385244,0.865671,0.010739,0.947584,89.350677,66.009789,dribble
10.3607235,0.427466,0.856397,0.037951,0.957906,87.729424,63.474148,dribble
10.3702803,0.475546,0.844438,0.073827,0.971941,85.643692,60.613949,dribble
10.3803520,0.522771,0.831625,0.098111,0.987175,84.296211,57.845985,dribble
10.3901815,0.562308,0.822595,0.101406,1.001567,84.189011,55.644341,dribble
10.4000702,0.592571,0.828574,0.096403,1.023215,84.593842,54.428810,dribble
